,id,date,screen,call,sms,mood,circumplex.arousal,circumplex.valence,activity,appCat.builtin,appCat.communication,appCat.entertainment,appCat.other,appCat.social
0,AS14.01,2014-03-15,4873.140800046919,6.0,1.0,7.2700000000000005,-0.4,0.62,0.04900126553502418,441.5332,1728.0884,1855.3919999999998,192.02459999999996,876.7360000000001
1,AS14.01,2014-03-17,4873.140800046919,6.0,1.0,7.2700000000000005,-0.4,0.62,0.04900126553502418,441.5332,1728.0884,1855.3919999999998,192.02459999999996,876.7360000000001
2,AS14.01,2014-03-18,4535.069000387192,1.0,2.0,7.15,-0.12333333333333332,0.7166666666666666,0.13161331176655622,1770.4486000000002,3918.0898,692.5763999999999,430.80459999999994,703.491
3,AS14.01,2014-03-19,2879.106799793244,1.0,2.8,6.553333333333333,-0.019999999999999997,0.6333333333333334,0.15091248945479901,3301.299400000001,3603.9096000000004,602.721,69.0396,333.4178
4,AS14.01,2014-03-20,2275.9440002441406,1.0,1.6,7.19,0.03666666666666667,0.4033333333333333,0.08154761904761905,248.97899999999998,2168.229,350.856,11.345,807.7310000000001
5,AS14.01,2014-03-21,17978.907000064843,6.0,2.6,6.2,0.2,0.2,0.13405010398938863,3139.218,6280.889999999999,1007.4559999999999,239.75099999999998,4508.5
6,AS14.01,2014-03-22,6142.160999536513,3.0,1.0,6.4,0.6,0.5,0.23688021923995814,731.4290000000001,4962.918000000001,93.324,98.143,439.63199999999995
7,AS14.01,2014-03-23,6773.832001447675,2.4,3.6,6.8,0.2,0.8,0.14274111580506366,1286.246,5237.3189999999995,94.346,72.82300000000001,900.8389999999999
8,AS14.01,2014-03-24,15047.351000547404,10.0,3.2,6.0,0.8,0.0,0.07896105611559796,866.956,9270.628999999999,976.971,66.55799999999999,3223.626
9,AS14.01,2014-03-26,16423.80100035667,2.0,4.0,6.6,-0.2,0.6,0.10130832167007592,1167.497,8988.753,910.479,97.49799999999999,4592.059
10,AS14.01,2014-03-27,17442.14999938011,2.0,1.0,7.0,0.2,0.8,0.15951064096909748,1229.3270000000002,6936.512000000001,639.339,58.532,935.3809999999999
11,AS14.01,2014-03-28,4923.488999605181,5.0,2.0,6.4,-0.6,0.6,0.09569802163712014,10062.595000000001,866.8330000000001,1005.403,225.951,512.741
12,AS14.01,2014-03-29,8322.6219997406,4.0,1.0,8.0,0.2,1.0,0.06820281010186964,1952.6299999999999,2720.692,1627.429,169.59400000000002,472.888
13,AS14.01,2014-03-30,4523.2140009403265,4.2,3.4,7.5,-0.5,0.75,0.049092970521542,414.365,1298.505,1535.6770000000001,74.003,167.685
14,AS14.01,2014-03-31,11836.83400034904,6.0,2.0,7.4,0.0,0.6,0.07050548088338955,2961.405,5332.637,1758.92,268.554,1350.655
15,AS14.01,2014-04-01,17173.906002044678,1.0,1.6,6.0,0.2,0.0,0.118443242712736,1385.517,6095.526,1030.637,121.19,5040.067
16,AS14.01,2014-04-04,12379.411000013357,2.0,1.0,6.2,0.2,0.4,0.12668931120732582,1957.8289999999997,5481.628,1545.2269999999999,176.80100000000002,2086.1969999999997
17,AS14.01,2014-04-05,3340.430999994278,2.0,3.2,6.8,-0.4,0.6,0.1190023022034455,15159.19,1885.409,76.369,81.13300000000001,363.20799999999997
18,AS14.01,2014-04-06,7467.3219997882825,4.0,2.4,6.5,-0.75,0.5,0.06440779944246815,4548.662,3355.743,187.214,119.12,321.46000000000004
